,u_index,tag_id,weight
199,24.0,6.0,1.0
200,24.0,10.0,5.0
201,24.0,25.0,3.0
202,24.0,0.0,1.0
203,24.0,20.0,1.0
204,25.0,23.0,1.0
205,25.0,3.0,5.0
206,25.0,21.0,1.0
207,25.0,11.0,6.0
208,25.0,10.0,1.0
209,25.0,26.0,1.0
210,25.0,2.0,5.0
211,26.0,25.0,5.0
212,26.0,20.0,1.0
213,26.0,4.0,6.0
214,26.0,2.0,3.0
215,26.0,16.0,1.0
216,26.0,10.0,1.0
217,26.0,21.0,1.0
218,26.0,11.0,1.0
219,26.0,3.0,1.0
220,26.0,22.0,1.0
221,27.0,3.0,7.0
222,27.0,10.0,2.0
223,27.0,9.0,1.0
224,27.0,15.0,1.0
225,27.0,14.0,1.0
226,27.0,22.0,1.0
227,27.0,13.0,1.0
228,27.0,11.0,1.0
229,27.0,0.0,2.0
230,27.0,21.0,1.0
231,27.0,2.0,1.0
232,28.0,3.0,5.0
233,28.0,21.0,4.0
234,28.0,8.0,3.0
235,28.0,11.0,1.0
236,28.0,14.0,1.0
237,28.0,2.0,1.0
238,28.0,23.0,2.0
239,28.0,19.0,1.0
240,29.0,14.0,8.0
241,29.0,16.0,4.0
242,29.0,25.0,8.0
243,29.0,22.0,5.0
244,29.0,3.0,5.0
245,29.0,7.0,1.0
246,29.0,0.0,2.0
247,29.0,20.0,1.0
248,29.0,4.0,3.0
249,29.0,11.0,3.0
250,30.0,25.0,2.0
251,30.0,14.0,1.0
252,30.0,16.0,1.0
253,30.0,3.0,7.0
254,30.0,12.0,4.0
255,30.0,4.0,5.0
256,30.0,22.0,2.0
257,30.0,2.0,1.0
258,30.0,17.0,1.0
259,30.0,0.0,1.0
260,30.0,21.0,2.0
261,30.0,5.0,2.0
262,30.0,11.0,2.0
263,31.0,3.0,7.0
264,31.0,10.0,5.0
265,31.0,9.0,2.0
266,31.0,5.0,3.0
267,31.0,11.0,1.0
268,31.0,22.0,1.0
269,31.0,21.0,1.0
270,31.0,4.0,3.0
271,31.0,2.0,2.0
272,32.0,3.0,4.0
273,32.0,30.0,1.0
274,32.0,4.0,2.0
275,32.0,20.0,1.0
276,32.0,24.0,1.0
277,32.0,22.0,2.0
278,32.0,28.0,1.0
279,32.0,25.0,1.0
280,32.0,13.0,1.0
281,32.0,16.0,1.0
282,33.0,25.0,1.0
283,33.0,14.0,1.0
284,33.0,16.0,5.0
285,33.0,3.0,8.0
286,33.0,21.0,2.0
287,33.0,22.0,5.0
288,33.0,4.0,3.0
289,33.0,26.0,1.0
290,33.0,11.0,1.0
291,34.0,3.0,4.0
292,34.0,16.0,2.0
293,34.0,22.0,1.0
294,34.0,11.0,1.0
295,34.0,2.0,1.0
296,34.0,13.0,1.0
297,35.0,3.0,2.0
298,35.0,10.0,2.0
299,36.0,3.0,7.0
300,36.0,12.0,4.0
301,36.0,22.0,4.0
302,36.0,4.0,4.0
303,36.0,11.0,3.0
304,36.0,2.0,1.0
305,36.0,16.0,3.0
306,36.0,13.0,2.0
307,36.0,21.0,2.0
308,36.0,30.0,2.0
309,36.0,10.0,3.0
310,36.0,0.0,1.0
311,36.0,5.0,2.0
312,37.0,3.0,2.0
313,37.0,14.0,2.0
314,37.0,22.0,2.0
315,37.0,21.0,1.0
316,37.0,11.0,1.0
317,38.0,3.0,4.0
318,38.0,4.0,2.0
319,38.0,25.0,2.0
320,38.0,16.0,2.0
321,38.0,10.0,2.0
322,39.0,3.0,4.0
323,39.0,4.0,2.0
324,39.0,16.0,2.0
325,39.0,10.0,2.0
326,40.0,3.0,6.0
327,40.0,10.0,6.0
328,40.0,21.0,5.0
329,40.0,8.0,3.0
330,40.0,25.0,3.0
331,40.0,20.0,1.0
332,40.0,6.0,1.0
333,40.0,11.0,2.0
334,41.0,3.0,4.0
335,41.0,22.0,2.0
336,41.0,10.0,2.0
337,42.0,3.0,4.0
338,42.0,24.0,1.0
339,42.0,10.0,3.0
340,42.0,4.0,1.0
341,42.0,13.0,1.0
342,42.0,21.0,1.0
343,42.0,14.0,1.0
344,43.0,25.0,6.0
345,43.0,14.0,2.0
346,43.0,16.0,2.0
347,43.0,13.0,8.0
348,43.0,4.0,3.0
349,43.0,10.0,1.0
350,43.0,11.0,2.0
351,43.0,3.0,1.0
352,44.0,3.0,11.0
353,44.0,10.0,8.0
354,44.0,21.0,3.0
355,44.0,4.0,3.0
356,44.0,0.0,1.0
357,45.0,4.0,1.0
358,45.0,11.0,2.0
359,45.0,2.0,2.0
360,45.0,25.0,2.0
361,45.0,20.0,1.0
362,45.0,10.0,1.0
363,45.0,14.0,3.0
364,45.0,16.0,2.0
365,45.0,3.0,3.0
366,45.0,22.0,1.0
367,45.0,23.0,1.0
368,46.0,3.0,4.0
369,46.0,14.0,1.0
370,46.0,22.0,1.0
371,46.0,5.0,1.0
372,46.0,11.0,1.0
373,46.0,2.0,4.0
374,46.0,10.0,5.0
375,46.0,4.0,4.0
376,46.0,25.0,3.0
377,46.0,12.0,1.0
378,46.0,21.0,2.0
379,46.0,0.0,1.0
380,47.0,21.0,7.0
381,47.0,25.0,1.0
382,47.0,20.0,2.0
383,47.0,3.0,6.0
384,47.0,4.0,2.0
385,47.0,10.0,2.0
386,47.0,2.0,2.0
387,47.0,13.0,1.0
388,48.0,10.0,1.0
389,48.0,3.0,7.0
390,48.0,12.0,3.0
391,48.0,2.0,1.0
392,48.0,21.0,1.0
393,48.0,9.0,1.0
394,48.0,0.0,2.0
395,48.0,25.0,1.0
396,48.0,14.0,1.0
397,48.0,16.0,1.0
398,49.0,3.0,6.0
399,49.0,12.0,2.0
400,49.0,22.0,6.0
401,49.0,10.0,2.0
402,49.0,4.0,4.0
403,49.0,21.0,1.0
404,49.0,16.0,2.0
405,50.0,3.0,3.0
406,50.0,14.0,3.0
407,50.0,11.0,2.0
408,50.0,16.0,1.0
409,51.0,3.0,8.0
410,51.0,17.0,1.0
411,51.0,22.0,2.0
412,51.0,14.0,1.0
413,51.0,10.0,2.0
414,51.0,30.0,1.0
415,51.0,21.0,1.0
416,51.0,11.0,1.0
417,51.0,12.0,1.0
418,52.0,4.0,4.0
419,52.0,25.0,4.0
420,52.0,2.0,4.0
421,52.0,5.0,1.0
422,53.0,3.0,5.0
423,53.0,14.0,1.0
424,53.0,10.0,2.0
425,53.0,21.0,3.0
426,53.0,7.0,1.0
427,53.0,4.0,3.0
428,53.0,16.0,1.0
429,53.0,11.0,1.0
430,53.0,25.0,3.0
431,53.0,26.0,1.0
432,53.0,5.0,1.0
433,53.0,20.0,1.0
434,54.0,3.0,5.0
435,54.0,16.0,3.0
436,54.0,22.0,4.0
437,54.0,10.0,2.0
438,54.0,4.0,2.0
439,54.0,0.0,1.0
440,54.0,12.0,1.0
441,54.0,1.0,1.0
442,54.0,25.0,1.0
443,54.0,2.0,1.0
444,54.0,14.0,1.0
445,55.0,3.0,2.0
446,55.0,12.0,1.0
447,55.0,11.0,2.0
448,55.0,14.0,6.0
449,55.0,16.0,5.0
450,55.0,22.0,4.0
451,55.0,25.0,4.0
452,55.0,20.0,1.0
453,55.0,4.0,1.0
454,55.0,2.0,1.0
455,55.0,21.0,2.0
456,56.0,3.0,7.0
457,56.0,4.0,3.0
458,56.0,2.0,1.0
459,56.0,25.0,2.0
460,56.0,14.0,1.0
461,56.0,16.0,1.0
462,56.0,10.0,5.0
463,56.0,0.0,1.0
464,56.0,6.0,1.0
465,56.0,20.0,1.0
466,56.0,11.0,1.0
467,57.0,4.0,2.0
468,57.0,11.0,2.0
469,57.0,2.0,2.0
470,58.0,3.0,9.0
471,58.0,15.0,1.0
472,58.0,4.0,3.0
473,58.0,16.0,1.0
474,58.0,21.0,2.0
475,58.0,10.0,5.0
476,58.0,6.0,1.0
477,59.0,3.0,5.0
478,59.0,21.0,5.0
479,59.0,10.0,5.0
480,59.0,5.0,2.0
481,59.0,24.0,1.0
482,59.0,12.0,2.0
483,59.0,4.0,1.0
484,59.0,19.0,1.0
485,59.0,30.0,2.0
486,59.0,18.0,2.0
487,60.0,3.0,5.0
488,60.0,16.0,5.0
489,60.0,7.0,2.0
490,60.0,22.0,1.0
491,60.0,25.0,6.0
492,60.0,14.0,3.0
493,60.0,13.0,2.0
494,60.0,4.0,5.0
495,60.0,2.0,3.0
496,60.0,10.0,8.0
497,61.0,3.0,6.0
498,61.0,16.0,2.0
499,61.0,11.0,2.0
500,61.0,4.0,2.0
501,61.0,14.0,2.0
502,61.0,10.0,2.0
503,62.0,10.0,2.0
504,62.0,29.0,2.0
505,62.0,4.0,11.0
506,62.0,22.0,4.0
507,62.0,3.0,6.0
508,62.0,17.0,1.0
509,62.0,16.0,4.0
510,62.0,14.0,3.0
511,63.0,25.0,3.0
512,63.0,14.0,4.0
513,63.0,4.0,4.0
514,63.0,5.0,3.0
515,63.0,16.0,3.0
516,63.0,3.0,3.0
517,63.0,22.0,2.0
518,63.0,11.0,1.0
519,63.0,2.0,1.0
520,64.0,10.0,5.0
521,64.0,5.0,1.0
522,64.0,2.0,3.0
523,64.0,3.0,7.0
524,64.0,8.0,1.0
525,64.0,4.0,5.0
526,64.0,25.0,2.0
527,64.0,16.0,2.0
528,64.0,11.0,2.0
529,64.0,14.0,2.0
530,65.0,3.0,3.0
531,65.0,10.0,3.0
532,65.0,0.0,1.0
533,65.0,26.0,3.0
534,65.0,23.0,2.0
535,65.0,27.0,1.0
536,65.0,6.0,1.0
537,65.0,25.0,1.0
538,65.0,20.0,1.0
539,66.0,4.0,6.0
540,66.0,14.0,2.0
541,66.0,16.0,3.0
542,66.0,22.0,2.0
543,66.0,5.0,2.0
544,67.0,4.0,5.0
545,67.0,11.0,1.0
546,67.0,2.0,2.0
547,67.0,21.0,1.0
548,67.0,25.0,4.0
549,67.0,3.0,2.0
550,67.0,10.0,3.0
551,67.0,0.0,1.0
552,67.0,22.0,1.0
553,67.0,16.0,1.0
554,67.0,20.0,2.0
555,67.0,19.0,1.0
556,68.0,3.0,4.0
557,68.0,21.0,4.0
558,68.0,9.0,2.0
559,69.0,3.0,5.0
560,69.0,21.0,2.0
561,69.0,8.0,1.0
562,69.0,30.0,1.0
563,69.0,23.0,1.0
564,69.0,4.0,3.0
565,69.0,25.0,3.0
566,69.0,11.0,3.0
567,69.0,10.0,3.0
568,69.0,16.0,2.0
569,69.0,13.0,2.0
570,70.0,4.0,3.0
571,70.0,19.0,2.0
572,70.0,23.0,1.0
573,70.0,10.0,4.0
574,70.0,7.0,2.0
575,70.0,2.0,1.0
576,70.0,5.0,1.0
577,70.0,11.0,2.0
578,70.0,21.0,1.0
579,70.0,8.0,1.0
580,71.0,21.0,6.0
581,71.0,12.0,1.0
582,71.0,8.0,1.0
583,71.0,3.0,6.0
584,71.0,30.0,2.0
585,71.0,10.0,4.0
586,72.0,25.0,1.0
587,72.0,20.0,1.0
588,72.0,3.0,2.0
589,72.0,22.0,2.0
590,73.0,3.0,4.0
591,73.0,21.0,2.0
592,73.0,4.0,8.0
593,73.0,2.0,3.0
594,73.0,25.0,4.0
595,73.0,22.0,5.0
596,73.0,16.0,2.0
597,73.0,10.0,2.0
598,73.0,29.0,1.0
599,74.0,3.0,5.0
600,74.0,21.0,1.0
601,74.0,22.0,6.0
602,74.0,10.0,3.0
603,74.0,4.0,4.0
604,74.0,2.0,1.0
605,74.0,16.0,1.0
606,74.0,13.0,1.0
607,74.0,14.0,2.0
608,75.0,3.0,7.0
609,75.0,14.0,5.0
610,75.0,22.0,2.0
611,75.0,16.0,6.0
612,75.0,13.0,3.0
613,75.0,4.0,1.0
614,75.0,25.0,1.0
615,76.0,4.0,4.0
616,76.0,16.0,2.0
617,76.0,10.0,2.0
618,76.0,14.0,2.0
619,76.0,13.0,1.0
620,76.0,25.0,1.0
621,76.0,2.0,1.0
622,76.0,3.0,2.0
623,76.0,22.0,3.0
624,77.0,21.0,4.0
625,77.0,22.0,5.0
626,77.0,3.0,8.0
627,77.0,10.0,2.0
628,77.0,12.0,1.0
629,77.0,11.0,2.0
630,77.0,4.0,3.0
631,77.0,16.0,2.0
632,77.0,2.0,2.0
633,77.0,7.0,1.0
634,78.0,4.0,2.0
635,78.0,25.0,8.0
636,78.0,2.0,1.0
637,78.0,20.0,1.0
638,78.0,10.0,7.0
639,78.0,11.0,1.0
640,78.0,3.0,7.0
641,78.0,14.0,3.0
642,79.0,21.0,1.0
643,79.0,25.0,1.0
644,79.0,14.0,3.0
645,79.0,22.0,3.0
646,79.0,3.0,2.0
647,79.0,10.0,3.0
648,79.0,4.0,2.0
649,79.0,11.0,2.0
650,79.0,2.0,2.0
651,79.0,16.0,1.0
652,80.0,23.0,2.0
653,80.0,10.0,4.0
654,80.0,21.0,1.0
655,80.0,5.0,4.0
656,80.0,3.0,6.0
657,80.0,14.0,3.0
658,80.0,9.0,2.0
659,80.0,30.0,1.0
660,80.0,0.0,1.0
661,80.0,4.0,2.0
662,81.0,3.0,3.0
663,81.0,21.0,6.0
664,81.0,4.0,1.0
665,81.0,11.0,2.0
666,81.0,2.0,1.0
667,81.0,14.0,2.0
668,81.0,22.0,2.0
669,81.0,10.0,1.0
670,81.0,26.0,1.0
671,81.0,9.0,1.0
672,81.0,8.0,1.0
673,82.0,3.0,10.0
674,82.0,10.0,7.0
675,82.0,25.0,3.0
676,82.0,20.0,1.0
677,82.0,4.0,4.0
678,82.0,19.0,2.0
679,82.0,14.0,2.0
680,82.0,21.0,2.0
681,82.0,22.0,4.0
682,82.0,2.0,1.0
683,82.0,12.0,2.0
684,83.0,3.0,4.0
685,83.0,21.0,2.0
686,83.0,10.0,5.0
687,83.0,25.0,2.0
688,83.0,20.0,1.0
689,83.0,22.0,1.0
690,83.0,6.0,1.0
691,84.0,4.0,2.0
692,84.0,25.0,2.0
693,84.0,5.0,2.0
694,85.0,21.0,3.0
695,85.0,5.0,3.0
696,85.0,11.0,5.0
697,85.0,25.0,4.0
698,85.0,4.0,3.0
699,85.0,3.0,1.0
700,85.0,14.0,1.0
